	index	KEGG	pvalue	-log(pvalue)	pvalue_corrected
179	179	ko:K00372	4.412673197422999e-05	10.028444791940512	5.520593606375973e-05
180	180	ko:K00373	0.00039708801653915126	7.831352597720968	0.0004634213189575744
181	181	ko:K00374	1.0512853936532384e-07	16.06808205106002	1.650396297526667e-07
182	182	ko:K00375	1.2680895569817684e-14	31.998679819861167	2.87245244495146e-14
183	183	ko:K00381	0.00017649913922302107	8.642194558526208	0.00021063853832720977
184	184	ko:K00382	2.6880338696704657e-43	98.02234897583861	3.480747042700673e-42
185	185	ko:K00383	7.214283060008364e-23	50.98339431955675	2.462911412426029e-22
186	186	ko:K00384	1.94831101057258e-72	165.11916384674325	1.1649753777923691e-70
187	187	ko:K00385	2.319438258995045e-11	24.487110996317938	4.386435330732025e-11
189	189	ko:K00390	0.000705840805409214	7.256120833986225	0.0008130166330860805
190	190	ko:K00392	8.592218139288375e-14	30.085334375821535	1.7915876386844374e-13
191	191	ko:K00394	3.1143699012244266e-07	14.982068798080705	4.816670984548695e-07
192	192	ko:K00395	3.1143699012244266e-07	14.982068798080705	4.816670984548695e-07
193	193	ko:K00425	1.2782733146185546e-29	66.52945750253315	5.987856333224704e-29
194	194	ko:K00426	9.718198844012252e-28	62.198382306645826	4.2397206544800235e-27
195	195	ko:K00428	8.535688687223968e-19	41.60486072412137	2.354552930953369e-18
196	196	ko:K00432	1.297090222740982e-15	34.27865292935814	3.0503000842480233e-15
197	197	ko:K00433	3.2120190435669704e-20	44.8848021349326	9.255896124127075e-20
199	199	ko:K00437	4.412673197422999e-05	10.028444791940512	5.520593606375973e-05
200	200	ko:K00441	4.412673197422999e-05	10.028444791940512	5.520593606375973e-05
201	201	ko:K00459	2.607955226459823e-56	127.98619873151799	8.986394873547154e-55
202	202	ko:K00467	3.395713823087663e-14	31.013677305838243	7.540673077375443e-14
204	204	ko:K00520	2.3364646941804086e-08	17.57204177146654	3.757937281067065e-08
205	205	ko:K00525	1.9567334810385874e-43	98.3398825071166	2.5747826323310344e-42
206	206	ko:K00526	1.0226095660867662e-40	92.08104596147062	1.042087843536038e-39
208	208	ko:K00528	8.640475739513632e-42	94.55211626200612	9.705020540569732e-41
209	209	ko:K00532	4.412673197422999e-05	10.028444791940512	5.520593606375973e-05
210	210	ko:K00533	3.1143699012244266e-07	14.982068798080705	4.816670984548695e-07
211	211	ko:K00537	1.3354457790975583e-28	64.18311745079191	6.101036559337834e-28
212	212	ko:K00547	3.395713823087663e-14	31.013677305838243	7.540673077375443e-14
213	213	ko:K00548	8.231907551872404e-12	25.52300334779606	1.5893132054089833e-11
214	214	ko:K00549	3.313964108940118e-18	40.248386585079835	9.01309569695687e-18
215	215	ko:K00554	8.29227728518833e-40	89.98807908566198	6.980621002396636e-39
216	216	ko:K00556	1.9471684747255315e-09	20.056889583881023	3.266166261647694e-09
217	217	ko:K00557	2.74932781424897e-12	26.61966466531043	5.346134334163707e-12
218	218	ko:K00558	3.313964108940118e-18	40.248386585079835	9.01309569695687e-18
219	219	ko:K00560	6.388505458352633e-37	83.34114808732797	4.314894218216247e-36
220	220	ko:K00561	2.3364646941804086e-08	17.57204177146654	3.757937281067065e-08
221	221	ko:K00563	6.582789442680473e-17	37.25948799793437	1.6330458739437954e-16
222	222	ko:K00564	9.589702941968254e-18	39.18584176128868	2.4369832601276824e-17
223	223	ko:K00566	5.976348475017657e-42	94.92076414720022	6.768755682290194e-41
224	224	ko:K00567	4.2949298673106235e-61	139.00025544624876	1.7120769451455877e-59
225	225	ko:K00571	7.214283060008364e-23	50.98339431955675	2.462911412426029e-22
226	226	ko:K00573	4.412673197422999e-05	10.028444791940512	5.520593606375973e-05
227	227	ko:K00574	6.582789442680473e-17	37.25948799793437	1.6330458739437954e-16
228	228	ko:K00575	3.7914650689649524e-18	40.11377916776205	9.787998076451744e-18
229	229	ko:K00588	4.605654390068163e-15	33.011491631049935	1.0479345691112005e-14
231	231	ko:K00595	1.297090222740982e-15	34.27865292935814	3.0503000842480233e-15
232	232	ko:K00600	1.764891772511339e-38	86.930144163959	1.3463508343397943e-37
233	233	ko:K00602	5.976348475017657e-42	94.92076414720022	6.768755682290194e-41
235	235	ko:K00604	8.702310231660167e-45	101.45274065045307	1.3105034593307495e-43
236	236	ko:K00605	2.74932781424897e-12	26.61966466531043	5.346134334163707e-12
237	237	ko:K00606	9.589702941968254e-18	39.18584176128868	2.4369832601276824e-17
238	238	ko:K00609	9.195545804663999e-27	59.95107829569046	3.716609268564992e-26
239	239	ko:K00610	0.000705840805409214	7.256120833986225	0.0008130166330860805
240	240	ko:K00611	6.365361353270009e-44	99.46287308942023	8.743770021079681e-43
241	241	ko:K00615	4.1365573946508927e-78	178.18177335881126	3.114674512342691e-76
242	242	ko:K00616	1.2782733146185546e-29	66.52945750253315	5.987856333224704e-29
243	243	ko:K00619	0.00017649913922302107	8.642194558526208	0.00021063853832720977
244	244	ko:K00620	3.073111165432951e-26	58.74452196046244	1.208440038554195e-25
245	245	ko:K00625	3.073111165432951e-26	58.74452196046244	1.208440038554195e-25
246	246	ko:K00626	4.647650133761517e-22	49.12051030157903	1.4458565756598568e-21
247	247	ko:K00627	9.589702941968254e-18	39.18584176128868	2.4369832601276824e-17
248	248	ko:K00633	2.319438258995045e-11	24.487110996317938	4.386435330732025e-11
249	249	ko:K00634	1.0512853936532384e-07	16.06808205106002	1.650396297526667e-07
250	250	ko:K00638	2.3364646941804086e-08	17.57204177146654	3.757937281067065e-08
251	251	ko:K00639	1.0310549911546956e-08	18.39009820265353	1.712528428935863e-08
252	252	ko:K00640	6.388505458352633e-37	83.34114808732797	4.314894218216247e-36
253	253	ko:K00641	4.412673197422999e-05	10.028444791940512	5.520593606375973e-05
254	254	ko:K00645	6.365361353270009e-44	99.46287308942023	8.743770021079681e-43
255	255	ko:K00646	1.9471684747255315e-09	20.056889583881023	3.266166261647694e-09
256	256	ko:K00647	1.908862036083533e-12	26.984513844051385	3.86525549736835e-12
257	257	ko:K00648	1.9706350942103988e-35	79.91212238114797	1.2103628841479579e-34
258	258	ko:K00651	1.4681487989902595e-21	47.9702846661094	4.532644659600908e-21
259	259	ko:K00652	3.313964108940118e-18	40.248386585079835	9.01309569695687e-18
260	260	ko:K00655	7.36622925065709e-72	163.78922075521749	4.27872687616739e-70
261	261	ko:K00656	3.658041431082666e-53	120.7400820526228	1.0328886429709805e-51
262	262	ko:K00657	5.114725244846275e-12	25.998897433540268	9.879559546577175e-12
263	263	ko:K00658	2.74932781424897e-12	26.61966466531043	5.346134334163707e-12
264	264	ko:K00661	1.9567334810385874e-43	98.3398825071166	2.5747826323310344e-42
265	265	ko:K00666	3.032957904819465e-16	35.73182313835182	7.266945692985236e-16
266	266	ko:K00674	2.7774012492443717e-27	61.148281822767046	1.1924935036354398e-26
267	267	ko:K00677	9.998870705248724e-21	46.05181479573305	2.974060591627016e-20
268	268	ko:K00681	1.297090222740982e-15	34.27865292935814	3.0503000842480233e-15
269	269	ko:K00683	4.412673197422999e-05	10.028444791940512	5.520593606375973e-05
270	270	ko:K00684	4.412673197422999e-05	10.028444791940512	5.520593606375973e-05
271	271	ko:K00687	2.74932781424897e-12	26.61966466531043	5.346134334163707e-12
272	272	ko:K00688	3.41203006039013e-33	74.75800062901648	1.8875257449722814e-32
273	273	ko:K00690	1.9471684747255315e-09	20.056889583881023	3.266166261647694e-09
274	274	ko:K00691	9.589702941968254e-18	39.18584176128868	2.4369832601276824e-17
276	276	ko:K00694	6.343309226538441e-40	90.25600312746461	5.861794389796659e-39
277	277	ko:K00697	4.412673197422999e-05	10.028444791940512	5.520593606375973e-05
278	278	ko:K00700	9.195545804663999e-27	59.95107829569046	3.716609268564992e-26
279	279	ko:K00702	2.3364646941804086e-08	17.57204177146654	3.757937281067065e-08
280	280	ko:K00703	1.3425760380128985e-22	50.3622818609563	4.552889216480772e-22
281	281	ko:K00705	1.4978572786074833e-15	34.13474078898242	3.5143033438072862e-15
282	282	ko:K00712	0.0028206239829180143	5.870797147970527	0.0032035355068560463
283	283	ko:K00721	2.3364646941804086e-08	17.57204177146654	3.757937281067065e-08
284	284	ko:K00728	4.412673197422999e-05	10.028444791940512	5.520593606375973e-05
285	285	ko:K00748	1.297090222740982e-15	34.27865292935814	3.0503000842480233e-15
286	286	ko:K00754	0.00017649913922302107	8.642194558526208	0.00021063853832720977
287	287	ko:K00756	3.274812729937088e-16	35.65510080215105	7.791333270874312e-16
288	288	ko:K00757	2.472150965070212e-09	19.818177229203442	4.12295562919421e-09
289	289	ko:K00758	2.3364646941804086e-08	17.57204177146654	3.757937281067065e-08
290	290	ko:K00759	1.2393655438480561e-29	66.56036810633915	5.886986333278266e-29
291	291	ko:K00760	6.472195359647791e-24	53.3945268671968	2.3003449591195735e-23
292	292	ko:K00761	6.771331603615768e-32	71.7700252164074	3.5525463613292533e-31
293	293	ko:K00762	1.2330378251909865e-47	108.01201846964352	2.331875254523977e-46
294	294	ko:K00763	1.5767113416222893e-40	91.64806247126053	1.5337101232144088e-39
295	295	ko:K00764	2.235486425280296e-43	98.20670015441213	2.9132973734582315e-42
296	296	ko:K00765	4.647650133761517e-22	49.12051030157903	1.4458565756598568e-21
297	297	ko:K00766	4.258391853066556e-30	67.62866120009103	2.0298500908052305e-29
298	298	ko:K00767	4.333008207488372e-15	33.07251435797322	1.0061685534921599e-14
299	299	ko:K00768	5.535097062496593e-11	23.61732692079458	1.0409669128636054e-10
300	300	ko:K00769	4.412673197422999e-05	10.028444791940512	5.520593606375973e-05
301	301	ko:K00772	8.392298507662426e-24	53.13472779089257	2.946725883605822e-23
302	302	ko:K00773	4.015794478235232e-34	76.89765795645589	2.3095078286427798e-33
303	303	ko:K00782	1.0512853936532384e-07	16.06808205106002	1.650396297526667e-07
304	304	ko:K00783	5.8727465667004406e-37	83.42532601744344	3.993074839498995e-36
305	305	ko:K00784	3.482296022580172e-23	51.711765286030065	1.2143238102753843e-22
306	306	ko:K00786	2.74932781424897e-12	26.61966466531043	5.346134334163707e-12
307	307	ko:K00788	2.5696563414436234e-36	81.94929117710237	1.693391034734161e-35
308	308	ko:K00789	3.0455210166258935e-54	123.22592302952924	9.599293374884406e-53
309	309	ko:K00790	9.748050339582058e-52	117.4573575358474	2.557133721338106e-50
310	310	ko:K00791	1.041620594863549e-35	80.54970049018047	6.63829049955359e-35
311	311	ko:K00793	1.933412524733942e-36	82.23377675867098	1.2929696259158238e-35
312	312	ko:K00794	1.8829437883926673e-37	84.56281204370498	1.313216028062536e-36
313	313	ko:K00795	3.3356369181439295e-28	63.26771896274684	1.4710086452465528e-27
314	314	ko:K00796	4.258391853066556e-30	67.62866120009103	2.0298500908052305e-29
315	315	ko:K00797	4.333008207488372e-15	33.07251435797322	1.0061685534921599e-14
317	317	ko:K00799	4.412673197422999e-05	10.028444791940512	5.520593606375973e-05
318	318	ko:K00800	1.5767113416222893e-40	91.64806247126053	1.5337101232144088e-39
319	319	ko:K00805	4.00972290725492e-39	88.41209648827203	3.171893646089203e-38
320	320	ko:K00806	1.9510923266357915e-48	109.85569508046825	3.928094644148862e-47
321	321	ko:K00812	6.321065605156438e-32	71.83883517345267	3.333521757531268e-31
322	322	ko:K00813	3.3356369181439295e-28	63.26771896274684	1.4710086452465528e-27
323	323	ko:K00817	9.456295657956543e-38	85.25155280689441	6.841512125489556e-37
324	324	ko:K00820	2.89111066790755e-41	93.34434807030644	3.0375338438532553e-40
325	325	ko:K00821	5.468595401571259e-25	55.86560552355391	2.055019307096926e-24
327	327	ko:K00824	2.472150965070212e-09	19.818177229203442	4.12295562919421e-09
328	328	ko:K00826	1.933412524733942e-36	82.23377675867098	1.2929696259158238e-35
329	329	ko:K00830	2.74932781424897e-12	26.61966466531043	5.346134334163707e-12
330	330	ko:K00831	4.258391853066556e-30	67.62866120009103	2.0298500908052305e-29
331	331	ko:K00832	1.908862036083533e-12	26.984513844051385	3.86525549736835e-12
332	332	ko:K00833	3.1037845805876234e-26	58.73459021851643	1.2134603946797383e-25
334	334	ko:K00839	1.9471684747255315e-09	20.056889583881023	3.266166261647694e-09
335	335	ko:K00840	4.412673197422999e-05	10.028444791940512	5.520593606375973e-05
336	336	ko:K00841	1.297090222740982e-15	34.27865292935814	3.0503000842480233e-15
338	338	ko:K00845	8.29227728518833e-40	89.98807908566198	6.980621002396636e-39
339	339	ko:K00847	4.9276912457699844e-64	145.7705753804004	2.201757429153929e-62
340	340	ko:K00848	3.1037845805876234e-26	58.73459021851643	1.2134603946797383e-25
341	341	ko:K00849	4.286279065592818e-21	46.89886794697894	1.2843043979882386e-20
342	342	ko:K00850	1.2293943844048934e-19	43.54259508915918	3.520223638725561e-19
343	343	ko:K00851	3.395713823087663e-14	31.013677305838243	7.540673077375443e-14
344	344	ko:K00852	1.8787811194731e-54	123.70897179580614	6.062796850617163e-53
345	345	ko:K00853	8.592218139288375e-14	30.085334375821535	1.7915876386844374e-13
346	346	ko:K00854	1.2790214571634494e-28	64.2262873048617	5.863022823930761e-28
347	347	ko:K00856	3.2577094940038916e-31	70.19911354358358	1.649545056366105e-30
348	348	ko:K00857	6.582789442680473e-17	37.25948799793437	1.6330458739437954e-16
349	349	ko:K00858	5.8727465667004406e-37	83.42532601744344	3.993074839498995e-36
350	350	ko:K00859	3.031322358556799e-44	100.20474514545516	4.315159139692915e-43
352	352	ko:K00863	4.412673197422999e-05	10.028444791940512	5.520593606375973e-05
353	353	ko:K00864	7.86844028055867e-41	92.34312895541152	8.079060146654431e-40
354	354	ko:K00865	1.2790214571634494e-28	64.2262873048617	5.863022823930761e-28
355	355	ko:K00867	3.032957904819465e-16	35.73182313835182	7.266945692985236e-16
356	356	ko:K00868	5.8727465667004406e-37	83.42532601744344	3.993074839498995e-36
357	357	ko:K00869	2.74932781424897e-12	26.61966466531043	5.346134334163707e-12
358	358	ko:K00872	1.2680895569817684e-14	31.998679819861167	2.87245244495146e-14
359	359	ko:K00873	9.308193031397155e-35	78.3595832713417	5.565751892008946e-34
360	360	ko:K00874	3.017451086692174e-35	79.48606579081175	1.847734355194334e-34
361	361	ko:K00876	4.647650133761517e-22	49.12051030157903	1.4458565756598568e-21
362	362	ko:K00878	3.073111165432951e-26	58.74452196046244	1.208440038554195e-25
363	363	ko:K00879	0.00017649913922302107	8.642194558526208	0.00021063853832720977
364	364	ko:K00882	9.195545804663999e-27	59.95107829569046	3.716609268564992e-26
366	366	ko:K00886	4.412673197422999e-05	10.028444791940512	5.520593606375973e-05
367	367	ko:K00887	6.18475683619379e-13	28.111518518936887	1.2598808264510997e-12
368	368	ko:K00891	1.0114198837942376e-42	96.69721873660546	1.269269520835608e-41
370	370	ko:K00899	2.74932781424897e-12	26.61966466531043	5.346134334163707e-12
371	371	ko:K00901	2.921059164713881e-33	74.91336179065135	1.6314596928195934e-32
